,0,1,2
absorb,0,0,1
according,0,1,0
accountant,0,1,0
accurately,1,0,0
achieve,0,1,0
across,1,4,6
actiwatch,1,0,0
actually,1,0,0
acute,0,1,0
adaptive,1,0,0
add,1,0,0
added,1,0,0
addition,0,1,0
additional,0,3,0
additionally,0,1,0
adult,1,0,0
aeon,0,0,1
africa,1,0,0
age,0,2,0
ago,1,0,0
agreed,0,0,1
agrees,1,0,0
alexander,0,0,1
aligned,0,1,0
allow,0,1,0
almost,3,2,1
alone,1,0,0
along,0,0,7
already,1,2,1
also,5,7,4
although,1,3,2
always,0,1,0
amazing,1,0,0
america,1,0,0
amid,0,2,0
among,2,3,0
amount,3,0,0
analysis,1,1,0
ancestor,6,0,0
ancient,4,0,1
angeles,1,0,0
animal,9,0,0
anneke,0,0,3
annual,1,0,0
another,2,1,2
anthropologist,3,0,0
anthropology,1,0,0
anything,0,2,0
ape,4,0,0
apparent,0,0,2
appear,0,1,0
appears,0,0,1
approach,0,0,1
appropriate,0,0,1
arboreal,1,0,0
arctic,0,0,10
argues,0,1,0
army,0,0,1
around,5,1,6
arrived,0,0,2
artic,0,0,1
asana,0,2,0
asked,1,0,0
asleep,3,0,0
aspect,1,0,0
assessed,1,0,0
assistant,0,1,0
associated,1,0,0
assuming,1,0,0
attached,1,0,0
attention,1,1,0
attitude,0,1,0
audit,0,1,0
average,3,1,0
averaged,1,0,0
awake,4,0,0
awareness,0,1,0
away,2,0,1
awoke,1,0,0
back,1,0,1
bad,0,1,0
balance,0,1,0
band,1,0,0
bare,0,0,1
based,2,0,0
basically,1,0,0
battle,0,0,2
beautiful,0,0,5
beauty,0,0,2
became,1,0,3
become,0,1,0
becoming,0,1,0
bed,4,1,0
began,1,1,2
begin,0,0,1
beginning,0,0,1
behind,0,0,1
belfast,1,0,0
belief,0,3,0
believe,0,0,2
believing,0,0,1
bend,1,0,0
beset,0,0,1
best,1,0,1
better,3,1,1
beyond,0,0,4
bill,0,1,0
biphasic,1,0,0
bird,1,0,0
blessed,0,0,1
blocked,0,0,2
blue,0,0,2
boat,0,0,1
body,1,0,2
bodø,0,0,2
bolivia,1,0,0
boomer,0,1,0
border,0,0,1
bored,1,0,0
bos,0,1,0
boundary,0,2,0
bowl,1,0,0
brain,1,0,0
branch,1,0,0
break,1,0,0
bridge,0,0,5
brief,1,0,0
brightly,0,0,1
british,0,1,0
brittany,0,4,0
brønnøysund,0,0,3
bucking,0,0,2
bug,1,0,0
build,1,1,5
builder,0,0,2
building,0,0,5
built,0,0,1
burned,0,1,0
burning,0,1,0
burnout,0,20,0
burnt,0,2,0
busiest,0,0,1
busy,0,1,0
cabin,0,0,2
california,1,1,0
call,2,0,0
called,1,0,0
camaraderie,0,1,0
came,0,0,1
camp,1,0,0
campervanners,0,0,1
canada,0,1,0
capellini,4,0,0
capital,0,2,0
captive,2,0,0
car,0,0,1
career,0,7,0
carried,0,0,1
carved,0,0,1
cash,0,1,0
catalyse,0,1,0
catch,1,0,0
cathedral,0,0,1
caused,0,1,0
caven,0,3,0
census,0,1,0
central,0,0,1
centre,0,0,1
century,0,0,2
certain,1,0,1
certainly,0,2,0
challenge,0,1,2
challenging,1,0,0
chance,0,1,0
change,0,3,0
changed,1,0,0
character,0,0,1
characteristic,0,0,1
chart,0,0,1
chicago,1,0,0
chief,0,0,1
child,1,0,1
chimpanzee,2,0,0
chisel,0,0,1
christian,0,0,2
christianity,0,0,1
churn,0,0,1
circadian,1,0,0
circle,0,0,2
circumstance,0,1,0
city,0,0,2
claim,1,0,0
clear,0,0,1
clearer,1,0,0
client,0,2,0
climate,1,0,1
climbed,0,0,1
closer,0,1,0
closest,2,0,0
cloud,0,0,1
coach,0,1,0
coast,0,0,6
coastal,0,0,2
coastline,0,0,4
colder,1,0,0
collaborated,1,0,0
colleague,2,1,0
collection,0,1,0
come,3,0,2
comfortable,0,1,0
common,0,1,0
commonplace,0,1,0
communication,0,1,0
community,2,0,0
company,0,2,0
compared,1,5,0
completely,1,0,0
compliant,1,0,0
compressed,1,0,0
concluded,1,0,0
condition,1,0,0
confident,0,1,0
confirmed,0,0,1
connecting,0,0,1
conscious,1,0,0
consider,1,0,0
considering,0,1,0
constant,0,1,0
constantly,0,2,0
construct,0,0,1
constructing,0,0,1
contemporary,1,0,0
content,0,1,0
continued,0,0,2
contour,0,0,2
contrast,1,0,0
contributing,0,1,0
cooked,1,0,0
cost,0,1,0
could,4,5,3
country,0,0,7
couple,0,1,0
course,1,1,0
craggy,0,0,1
create,1,0,0
creation,0,1,0
crossed,0,0,2
crossing,0,0,2
crowd,1,0,0
crowded,0,0,1
crucial,1,0,0
cry,0,0,1
cubic,0,0,1
culture,2,2,0
current,0,1,0
currently,0,1,0
cusp,0,0,1
cut,0,0,1
cutting,0,0,1
daily,1,1,0
dark,2,0,0
darkness,1,0,0
data,3,1,0
david,1,0,0
day,5,2,1
death,0,0,1
debate,1,0,0
december,0,0,1
dedicate,0,1,0
deep,0,0,3
deeper,0,0,1
defeat,0,0,1
deloitte,0,1,0
denuded,0,0,1
depends,1,0,0
depth,0,0,1
descended,0,0,1
described,0,0,1
describes,2,0,0
despite,0,0,1
detour,0,0,1
device,2,0,0
diet,1,0,0
differ,1,0,0
difference,0,0,1
different,2,2,1
difficult,0,2,3
dinner,0,1,0
disconnecting,0,1,0
discover,0,0,2
discovered,0,0,1
discrepancy,1,0,0
discussing,0,1,0
dissatisfied,0,1,0
documented,0,1,0
done,0,0,1
drama,0,0,2
draw,0,1,0
dream,1,0,0
dreaming,2,0,0
drive,0,0,6
driving,0,0,1
drove,0,0,2
dry,1,0,0
dutch,0,0,1
dwindling,2,0,0
earlier,1,0,0
earliest,0,2,0
early,1,2,0
earning,0,1,0
earth,0,0,2
easier,0,3,0
ecologist,2,0,0
edge,0,0,3
eeg,1,0,0
effect,0,1,0
effective,0,1,0
efficiency,0,0,1
effort,1,2,0
electric,1,0,0
electroencephalography,1,0,0
elemental,0,0,1
elsewhere,1,0,0
email,0,1,0
employee,0,3,0
empty,0,0,1
encountered,0,1,0
end,0,0,4
energy,0,2,0
engineering,0,1,0
enjoy,0,1,0
enough,1,0,2
entered,0,0,1
entire,0,1,0
entirely,0,2,0
entrepreneurship,0,1,0
environment,1,1,0
equipment,1,0,0
especially,0,2,0
eternal,0,0,1
europe,1,0,3
european,0,0,2
even,0,6,1
evening,2,0,0
ever,1,0,2
everest,0,0,1
every,3,1,4
everybody,0,1,0
everything,0,0,1
everywhere,0,0,1
evoking,0,0,1
evolution,4,0,0
evolutionary,4,0,0
evolved,7,0,0
exacerbating,0,1,0
exactly,1,0,0
example,2,2,0
exceptionally,1,0,0
exhausted,0,2,0
exhaustion,0,1,0
exhibition,0,0,1
exist,0,0,1
existing,1,0,0
expectation,0,1,0
experience,2,3,0
experienced,0,1,0
experiencing,1,2,0
explains,0,2,0
extension,1,0,0
extra,0,1,0
eye,1,0,1
faced,0,0,1
facilitated,1,0,0
facing,0,1,0
factor,1,2,0
fairy,0,0,1
familiar,0,1,0
family,0,1,0
far,0,0,5
faster,0,1,0
fastest,0,1,0
fatigue,0,1,0
favourite,0,0,1
featured,0,1,0
feel,2,6,2
feeling,1,8,0
felt,1,2,3
female,0,0,1
fence,0,0,1
ferry,0,0,6
feuding,0,0,1
fewer,1,0,0
field,1,1,0
fifth,0,0,1
filled,0,0,1
filling,0,0,1
final,0,0,1
financial,0,4,0
find,0,0,1
finish,0,1,0
fire,5,0,0
firm,0,2,0
first,0,2,4
fissure,0,0,1
fitbit,1,0,0
fitting,0,0,1
five,0,0,1
fjord,0,0,6
flexible,1,0,0
flexibly,1,0,0
food,1,0,0
forbidding,0,0,1
forced,0,1,0
forcing,0,0,1
formidable,0,0,1
fort,0,0,1
forward,0,0,1
fossil,1,0,0
found,5,0,1
fractured,0,0,2
freedom,0,1,0
freezing,0,0,1
frequent,1,0,0
frequently,1,0,0
friend,0,2,0
friendship,0,1,0
frozen,0,0,1
frustration,0,1,0
fuelling,0,1,0
fulfilment,0,1,0
fun,0,1,0
function,1,0,0
future,0,2,0
gandhi,1,0,0
gathered,0,0,1
gen,0,23,0
general,0,1,0
generally,1,0,0
generation,0,6,0
gentle,0,0,1
geography,0,0,1
germany,1,0,0
get,4,4,1
getting,0,1,0
giant,0,0,1
give,0,1,0
given,0,1,1
giving,1,0,0
glacier,0,0,3
glamourised,0,1,0
global,1,0,0
go,0,0,1
goal,0,1,0
going,1,4,1
good,0,1,0
gorilla,1,0,0
got,1,0,1
gotten,1,0,0
gradually,1,0,0
gravitas,0,0,1
